"Relative Intensity (%) Run #2","Angle (rad) Run #2","Relative Intensity (%) Run #3","Angle (rad) Run #3","Relative Intensity (%) Run #4","Angle (rad) Run #4","Relative Intensity (%) Run #5","Angle (rad) Run #5","Relative Intensity (%) Run #6","Angle (rad) Run #6","Relative Intensity (%) Run #7","Angle (rad) Run #7"
5.97,2.400,7.19,2.526,7.36,2.320,7.35,3.476,7.80,3.530,7.27,3.588
5.98,2.438,7.20,2.553,7.40,2.347,7.40,3.495,7.80,3.563,7.35,3.610
6.00,2.477,7.22,2.568,7.37,2.372,7.46,3.508,7.84,3.599,7.44,3.638
5.98,2.501,7.19,2.578,7.43,2.395,7.49,3.526,7.97,3.629,7.47,3.663
5.98,2.518,7.22,2.603,7.41,2.422,7.51,3.550,7.92,3.644,7.56,3.691
6.02,2.537,7.26,2.615,7.46,2.436,7.52,3.566,7.92,3.663,7.52,3.710
6.01,2.556,7.27,2.631,7.44,2.449,7.52,3.588,8.00,3.682,7.59,3.724
6.07,2.584,7.27,2.653,7.46,2.461,7.63,3.621,8.02,3.709,7.55,3.742
6.09,2.626,7.24,2.681,7.43,2.476,7.72,3.680,8.06,3.740,7.60,3.760
6.13,2.672,7.29,2.708,7.47,2.496,7.83,3.734,8.10,3.767,7.58,3.793
6.19,2.706,7.29,2.739,7.43,2.529,7.82,3.745,8.11,3.793,7.54,3.823
6.22,2.728,7.31,2.763,7.39,2.551,7.90,3.754,8.19,3.815,7.68,3.858
6.25,2.736,7.35,2.779,7.31,2.573,7.87,3.781,8.23,3.833,7.80,3.900
6.25,2.747,7.29,2.790,7.38,2.597,7.88,3.809,8.25,3.850,7.84,3.944
6.26,2.758,7.30,2.818,7.41,2.619,7.97,3.831,8.31,3.872,7.93,3.993
6.14,2.769,7.34,2.838,7.39,2.636,8.01,3.855,8.39,3.896,8.03,4.042
6.16,2.776,7.37,2.862,7.46,2.656,8.05,3.870,8.46,3.940,8.13,4.076
6.27,2.785,7.41,2.890,7.48,2.681,8.08,3.892,8.53,4.007,8.13,4.103
6.28,2.799,7.41,2.919,7.47,2.697,8.16,3.930,8.65,4.032,8.18,4.131
6.28,2.812,7.37,2.953,7.46,2.725,8.26,3.990,8.75,4.045,8.30,4.159
6.32,2.827,7.48,2.969,7.43,2.754,8.37,4.039,8.75,4.051,8.37,4.188
6.22,2.845,7.46,2.985,7.47,2.780,8.38,4.079,8.76,4.061,8.41,4.210
6.28,2.864,7.50,2.986,7.52,2.807,8.50,4.108,8.86,4.070,8.40,4.229
6.34,2.875,7.50,2.989,7.53,2.826,8.56,4.141,8.86,4.081,8.41,4.244
6.35,2.878,7.46,2.999,7.49,2.846,8.69,4.166,8.87,4.095,8.59,4.277
6.34,2.886,7.50,3.016,7.50,2.862,8.77,4.178,8.92,4.109,8.67,4.315
6.30,2.901,7.54,3.038,7.49,2.871,8.85,4.197,9.07,4.130,8.77,4.350
6.22,2.917,7.58,3.072,7.54,2.875,8.87,4.224,9.19,4.145,8.83,4.392
6.34,2.928,7.61,3.107,7.55,2.881,8.90,4.238,9.19,4.156,9.00,4.423
6.32,2.947,7.65,3.140,7.50,2.893,8.99,4.257,9.23,4.174,9.03,4.452
6.41,2.972,7.66,3.175,7.51,2.903,9.03,4.280,9.23,4.207,9.09,4.480
6.41,2.992,7.67,3.203,7.47,2.914,9.16,4.298,9.29,4.241,9.21,4.505
6.37,3.035,7.67,3.239,7.50,2.931,9.18,4.312,9.36,4.282,9.25,4.540
6.36,3.087,7.73,3.288,7.59,2.934,9.26,4.323,9.53,4.315,9.45,4.568
6.40,3.129,7.74,3.310,7.54,2.952,9.26,4.328,9.61,4.351,9.50,4.604
6.40,3.151,7.78,3.319,7.50,2.970,9.28,4.339,9.78,4.381,9.74,4.637
6.48,3.175,7.77,3.330,7.55,2.991,9.33,4.357,9.88,4.416,9.84,4.661
6.51,3.204,7.79,3.347,7.59,3.007,9.48,4.375,9.98,4.458,9.93,4.686
6.55,3.212,7.86,3.371,7.59,3.016,9.55,4.409,10.06,4.488,10.05,4.719
6.46,3.225,7.86,3.416,7.56,3.024,9.73,4.448,10.23,4.513,10.24,4.771
6.47,3.245,7.94,3.446,7.55,3.038,9.85,4.491,10.28,4.525,10.39,4.803
6.53,3.267,7.95,3.475,7.57,3.049,9.97,4.529,10.32,4.533,10.57,4.821
6.57,3.292,7.94,3.500,7.56,3.066,10.08,4.540,10.49,4.551,10.63,4.841
6.53,3.324,7.95,3.509,7.62,3.083,10.14,4.547,10.47,4.565,10.65,4.858
6.57,3.355,7.95,3.514,7.69,3.104,10.32,4.555,10.56,4.576,10.86,4.885
6.62,3.380,7.99,3.525,7.66,3.140,10.32,4.569,10.63,4.596,10.91,4.902
6.63,3.394,8.02,3.542,7.75,3.192,10.47,4.585,10.84,4.624,11.08,4.929
6.57,3.405,8.02,3.566,7.76,3.236,10.50,4.604,10.84,4.656,11.16,4.961
6.55,3.409,8.05,3.589,7.84,3.274,10.63,4.621,11.05,4.698,11.40,4.986
6.58,3.429,8.03,3.610,7.85,3.341,10.73,4.639,11.18,4.731,11.51,5.005
6.63,3.445,8.13,3.632,7.97,3.377,10.84,4.667,11.33,4.744,11.70,5.023
6.66,3.456,8.14,3.685,7.96,3.405,10.85,4.687,11.33,4.755,11.72,5.045
6.68,3.468,8.17,3.740,7.99,3.446,10.97,4.712,11.49,4.771,11.91,5.075
6.64,3.473,8.25,3.757,7.96,3.490,11.11,4.738,11.59,4.793,12.04,5.107
6.67,3.487,8.24,3.759,7.98,3.511,11.20,4.752,11.67,4.821,12.13,5.127
6.69,3.508,8.30,3.762,8.03,3.537,11.22,4.766,11.88,4.852,12.30,5.148
6.69,3.523,8.33,3.767,8.11,3.553,11.29,4.777,11.97,4.879,12.33,5.160
6.69,3.544,8.32,3.776,8.16,3.561,11.56,4.786,12.19,4.898,12.47,5.174
6.74,3.572,8.36,3.787,8.08,3.572,11.60,4.802,12.27,4.917,12.59,5.193
6.76,3.596,8.37,3.803,8.10,3.586,11.65,4.818,12.50,4.928,12.78,5.221
6.72,3.632,8.38,3.828,8.16,3.602,11.75,4.843,12.57,4.940,12.87,5.253
6.78,3.669,8.43,3.866,8.27,3.611,11.99,4.871,12.73,4.945,13.17,5.289
6.77,3.680,8.48,3.910,8.28,3.621,12.10,4.895,12.85,4.953,13.37,5.327
6.79,3.693,8.61,3.947,8.31,3.629,12.29,4.931,12.94,4.967,13.76,5.347
6.77,3.710,8.65,3.980,8.31,3.638,12.38,4.948,13.04,4.984,13.92,5.366
6.81,3.715,8.81,4.028,8.33,3.652,12.59,4.961,13.14,5.001,14.21,5.382
6.89,3.718,8.83,4.064,8.33,3.665,12.62,4.970,13.18,5.025,14.34,5.404
6.91,3.723,8.82,4.079,8.34,3.679,12.75,4.986,13.26,5.049,14.48,5.422
6.89,3.729,8.97,4.098,8.37,3.691,12.92,5.008,13.54,5.071,14.76,5.440
6.88,3.738,8.99,4.115,8.41,3.712,13.00,5.031,13.64,5.086,14.82,5.468
6.82,3.760,9.06,4.139,8.49,3.720,13.23,5.074,13.81,5.099,15.18,5.488
6.87,3.776,9.09,4.175,8.49,3.726,13.38,5.113,13.85,5.107,15.25,5.498
6.91,3.800,9.20,4.208,8.53,3.742,13.67,5.126,13.96,5.115,15.47,5.510
6.99,3.833,9.28,4.235,8.53,3.757,13.80,5.130,14.06,5.122,15.54,5.524
7.02,3.869,9.34,4.246,8.58,3.765,13.92,5.135,14.27,5.127,15.80,5.537
7.09,3.902,9.36,4.258,8.61,3.771,14.00,5.151,14.34,5.138,15.94,5.557
7.12,3.944,9.39,4.268,8.66,3.775,14.36,5.196,14.50,5.155,16.20,5.583
