Relative Intensity (%) Run #2,Angle (rad) Run #2,Relative Intensity (%) Run #3,Angle (rad) Run #3,Relative Intensity (%) Run #5,Angle (rad) Run #5,Relative Intensity (%) Run #7,Angle (rad) Run #7,Relative Intensity (%) Run #9,Angle (rad) Run #9
27.82,8.416,34.91,7.175,20.77,6.294,6.12,4.342,8.52,5.111
27.69,8.432,35.28,7.223,20.93,6.31,6.27,4.364,8.64,5.122
27.14,8.459,35.63,7.27,21.23,6.324,6.29,4.376,8.67,5.13
26.83,8.49,36.23,7.312,21.4,6.335,6.31,4.401,8.68,5.14
26.51,8.515,36.52,7.356,21.85,6.359,6.35,4.441,8.76,5.152
25.71,8.548,37.02,7.395,22.17,6.395,6.43,4.469,8.79,5.168
25.26,8.591,37.23,7.424,22.83,6.417,6.42,4.489,8.94,5.187
24.35,8.616,37.65,7.483,23.23,6.434,6.51,4.507,9,5.22
23.99,8.632,37.73,7.554,24.26,6.48,6.59,4.533,9.2,5.261
23.41,8.649,37.87,7.601,24.78,6.528,6.65,4.577,9.32,5.301
23.17,8.671,37.82,7.648,25.13,6.55,6.76,4.607,9.65,5.327
22.56,8.693,37.85,7.706,25.69,6.564,6.81,4.629,9.78,5.369
22.18,8.716,37.73,7.75,25.86,6.578,6.93,4.643,9.91,5.394
21.82,8.741,37.66,7.782,26.21,6.602,6.93,4.654,10.17,5.415
21.02,8.778,37.61,7.801,26.49,6.637,7.03,4.67,10.24,5.427
20.47,8.829,37.58,7.818,27.16,6.665,7.12,4.725,10.38,5.446
19.4,8.87,37.33,7.843,27.51,6.695,7.23,4.755,10.46,5.463
18.97,8.889,37.23,7.884,28.39,6.712,7.29,4.788,10.63,5.473
18.42,8.9,36.93,7.909,28.77,6.734,7.58,4.858,10.67,5.484
18.11,8.921,36.83,7.926,29.27,6.764,7.68,4.906,10.87,5.503
17.5,8.944,36.77,7.944,30.59,6.822,7.87,4.937,11.01,5.539
17.23,8.971,36.54,7.956,31.44,6.899,8.05,4.956,11.29,5.575
16.9,8.991,36.39,7.981,32.73,6.946,8.09,4.962,11.47,5.616
16.39,9.012,36.16,8.011,33.27,6.987,8.25,4.967,11.92,5.649
16.11,9.035,35.99,8.05,33.97,7.001,8.27,4.972,12.09,5.685
15.45,9.067,35.46,8.075,34.23,7.017,8.34,4.976,12.2,5.7
15.14,9.098,35.31,8.091,34.4,7.034,8.42,4.983,12.57,5.715
14.38,9.14,35.14,8.113,34.63,7.056,8.47,5,12.64,5.733
13.94,9.188,34.72,8.141,34.72,7.07,8.58,5.038,12.79,5.752
13.15,9.222,34.51,8.168,34.94,7.087,8.93,5.118,12.91,5.776
12.79,9.243,33.98,8.203,35.11,7.114,9.09,5.149,13.14,5.79
12.16,9.266,33.6,8.256,35.58,7.136,9.42,5.157,13.26,5.814
11.86,9.288,32.64,8.316,35.76,7.174,9.52,5.171,13.67,5.845
11.36,9.316,32,8.382,36.2,7.19,9.64,5.19,13.84,5.867
11.08,9.342,30.83,8.419,36.43,7.201,9.71,5.209,14.15,5.897
10.84,9.368,30.2,8.465,36.79,7.229,9.73,5.223,14.32,5.92
10.38,9.395,29.66,8.503,37.26,7.27,9.91,5.242,14.47,5.955
10.08,9.437,28.67,8.525,37.53,7.299,9.98,5.259,14.86,5.986
9.39,9.492,28.22,8.553,37.81,7.32,10.14,5.298,14.97,6.011
9.02,9.541,27.41,8.573,37.96,7.367,10.3,5.33,15.3,6.024
8.4,9.569,27.02,8.605,38.1,7.402,10.5,5.347,15.42,6.037
8.15,9.591,26.23,8.636,38.12,7.442,10.58,5.356,15.6,6.049
7.83,9.612,25.72,8.665,38.13,7.468,10.73,5.361,15.73,6.059
7.65,9.637,24.58,8.716,38.03,7.482,10.8,5.367,15.97,6.068
7.21,9.66,24.11,8.746,37.96,7.497,11.03,5.396,16.06,6.082
7.03,9.678,23.63,8.778,37.78,7.548,11.18,5.41,16.38,6.099
6.7,9.695,22.67,8.828,37.6,7.585,11.41,5.438,16.67,6.131
6.54,9.722,22.15,8.866,37.44,7.598,11.55,5.471,16.89,6.173
6.35,9.763,21.08,8.899,37.39,7.609,11.7,5.488,17.65,6.234
5.91,9.814,20.55,8.941,36.98,7.618,11.91,5.501,18.14,6.294
5.69,9.86,19.49,8.979,36.75,7.626,11.94,5.512,18.88,6.324
5.18,9.904,19.01,9.004,36.37,7.644,12.23,5.532,19.16,6.343
4.98,9.946,18.1,9.043,36.21,7.683,12.3,5.548,19.58,6.36
4.56,9.971,17.7,9.085,36.05,7.727,12.63,5.57,19.81,6.376
4.4,9.993,17.13,9.139,36.14,7.741,12.78,5.581,20.17,6.388
4.11,10.036,16.01,9.189,36.1,7.755,13.2,5.628,20.34,6.404
3.94,10.074,15.52,9.221,35.91,7.771,13.43,5.672,20.78,6.425
3.62,10.111,14.7,9.239,35.75,7.782,14.06,5.711,21.07,6.45
3.45,10.149,14.36,9.265,35.46,7.802,14.45,5.765,21.4,6.498
3.18,10.18,13.63,9.294,35.43,7.823,14.77,5.817,22.17,6.539
3.08,10.205,13.32,9.318,35.27,7.856,15.48,5.837,22.45,6.564
2.82,10.234,12.76,9.337,35.32,7.893,15.74,5.859,22.94,6.583
2.71,10.27,12.49,9.36,35.32,7.923,16.14,5.876,23.19,6.61
